File generated on 03-Jul-2017 10:45:04, Level:3, Processing Version: 1.0, Amount of data removed from level 1: 9.3%, Site: Diadema-2016, Instrument: SMPS_TSI, Model:3082," S/N: 3082001629001 - Sizing quantitative, Concentration qualitative", Data processing details can be found in ftp://ftp.lfa.if.usp.br/LFA_Processed_Data/DataProcessing_GoAmazon_LFA.pdf
Time(UTC), UnixTime(UTC),Number concentration (cm-3),Total volume (um3.cm-3), Mean geometric diameter Dpg (nm),,,,
11/22/2016 13:15,1479820500, NaN, NaN, NaN,,,,
11/22/2016 13:20,1479820800, NaN, NaN, NaN,,,,
11/22/2016 13:25,1479821100, NaN, NaN, NaN,,,,
11/22/2016 13:30,1479821400, NaN, NaN, NaN,,,,
11/22/2016 13:35,1479821700, NaN, NaN, NaN,,,,
11/22/2016 13:40,1479822000, NaN, NaN, NaN,,,,
11/22/2016 13:45,1479822300, NaN, NaN, NaN,,,,
11/22/2016 13:50,1479822600, NaN, NaN, NaN,,,,
11/22/2016 13:55,1479822900, NaN, NaN, NaN,,,,
11/22/2016 14:00,1479823200, NaN, NaN, NaN,,,,
11/22/2016 14:05,1479823500, NaN, NaN, NaN,,,,
11/22/2016 14:10,1479823800, NaN, NaN, NaN,,,,
11/22/2016 14:15,1479824100, NaN, NaN, NaN,,,,
11/22/2016 14:20,1479824400, NaN, NaN, NaN,,,,
11/22/2016 14:25,1479824700, NaN, NaN, NaN,,,,
11/22/2016 14:30,1479825000, NaN, NaN, NaN,,,,
11/22/2016 14:35,1479825300, NaN, NaN, NaN,,,,
11/22/2016 14:40,1479825600, NaN, NaN, NaN,,,,
11/22/2016 14:45,1479825900, NaN, NaN, NaN,,,,
11/22/2016 14:50,1479826200, NaN, NaN, NaN,,,,
11/22/2016 14:55,1479826500, NaN, NaN, NaN,,,,
11/22/2016 15:00,1479826800, NaN, NaN, NaN,,,,
11/22/2016 15:05,1479827100, NaN, NaN, NaN,,,,
11/22/2016 15:10,1479827400, NaN, NaN, NaN,,,,
11/22/2016 15:15,1479827700, NaN, NaN, NaN,,,,
11/22/2016 15:20,1479828000, NaN, NaN, NaN,,,,
11/22/2016 15:25,1479828300, NaN, NaN, NaN,,,,
11/22/2016 15:30,1479828600, NaN, NaN, NaN,,,,
11/22/2016 15:35,1479828900, NaN, NaN, NaN,,,,
11/22/2016 15:40,1479829200, NaN, NaN, NaN,,,,
11/22/2016 15:45,1479829500, NaN, NaN, NaN,,,,
11/22/2016 15:50,1479829800, NaN, NaN, NaN,,,,
11/22/2016 15:55,1479830100, NaN, NaN, NaN,,,,
11/22/2016 16:00,1479830400, NaN, NaN, NaN,,,,
11/22/2016 16:05,1479830700, NaN, NaN, NaN,,,,
11/22/2016 16:10,1479831000, NaN, NaN, NaN,,,,
11/22/2016 16:15,1479831300, NaN, NaN, NaN,,,,
11/22/2016 16:20,1479831600, NaN, NaN, NaN,,,,
11/22/2016 16:25,1479831900, NaN, NaN, NaN,,,,
11/22/2016 16:30,1479832200, NaN, NaN, NaN,,,,
11/22/2016 16:35,1479832500, NaN, NaN, NaN,,,,
11/22/2016 16:40,1479832800, NaN, NaN, NaN,,,,
11/22/2016 16:45,1479833100, NaN, NaN, NaN,,,,
11/22/2016 16:50,1479833400, NaN, NaN, NaN,,,,
11/22/2016 16:55,1479833700, NaN, NaN, NaN,,,,
11/22/2016 17:00,1479834000, NaN, NaN, NaN,,,,
11/22/2016 17:05,1479834300, NaN, NaN, NaN,,,,
11/22/2016 17:10,1479834600, NaN, NaN, NaN,,,,
11/22/2016 17:15,1479834900, NaN, NaN, NaN,,,,
11/22/2016 17:20,1479835200, NaN, NaN, NaN,,,,
11/22/2016 17:25,1479835500, NaN, NaN, NaN,,,,
11/22/2016 17:30,1479835800, NaN, NaN, NaN,,,,
11/22/2016 17:35,1479836100, NaN, NaN, NaN,,,,
11/22/2016 17:40,1479836400, NaN, NaN, NaN,,,,
11/22/2016 17:45,1479836700, NaN, NaN, NaN,,,,
11/22/2016 17:50,1479837000, NaN, NaN, NaN,,,,
11/22/2016 17:55,1479837300, NaN, NaN, NaN,,,,
11/22/2016 18:00,1479837600, NaN, NaN, NaN,,,,
11/22/2016 18:05,1479837900, NaN, NaN, NaN,,,,
11/22/2016 18:10,1479838200, NaN, NaN, NaN,,,,
11/22/2016 18:15,1479838500, NaN, NaN, NaN,,,,
